model,condition,decisions,mean_policy_regret_ms,successful_outcomes,completion_rate,completion_wilson_low,completion_wilson_high
gpt-5.6-sol,A,24,4723.813703703704,16,0.6666666666666666,0.4670595949408046,0.8202802131162036
gpt-5.6-sol,B,24,3307.0003703703705,18,0.75,0.5510017468789357,0.8800079652065766
gpt-5.6-sol,C,24,75.5020833333333,23,0.9583333333333334,0.7975777375115778,0.992606734645195
claude-sonnet-5,A,24,5031.715972222222,15,0.625,0.42709619037907065,0.7884086656636855
claude-sonnet-5,B,24,4723.813703703704,16,0.6666666666666666,0.4670595949408046,0.8202802131162036
claude-sonnet-5,C,24,75.5020833333333,23,0.9583333333333334,0.7975777375115778,0.992606734645195
gemini-3.7-flash,A,24,4723.813703703704,16,0.6666666666666666,0.4670595949408046,0.8202802131162036
gemini-3.7-flash,B,24,4723.813703703704,16,0.6666666666666666,0.4670595949408046,0.8202802131162036
gemini-3.7-flash,C,24,242.3529166666667,23,0.9583333333333334,0.7975777375115778,0.992606734645195
